epoch,train_loss,val_loss,val_action_mse,early_stop
1,0.6596331174071893,0.27800063318327856,0.049262878239939085,False
2,0.529616556350621,0.2771450798762472,0.05091252775960847,False
3,0.49993832440297137,0.26836499552193444,0.04877026609488224,False
4,0.47162475421468253,0.2544982101964323,0.04639130911642784,False
5,0.46236067181800905,0.25257025149307755,0.0456183903948649,False
6,0.44779737961490124,0.2513656753458475,0.04483973158915576,False
7,0.4598138199431273,0.251133673677319,0.043298871256411076,False
8,0.414631166336942,0.255123701926909,0.04541865150493227,False
9,0.4117285967862458,0.28200645862441315,0.048276639445439765,False
10,0.40070837853607794,0.26367165383539704,0.046494436940472374,False
11,0.372857247583599,0.25679882125634895,0.045513184398020566,False
12,0.3736519945236657,0.2709555490628669,0.04959408394796284,False
13,0.3509963755167371,0.2397225556012831,0.043360945033399684,False
14,0.3440979263470875,0.25401048793604497,0.04530151972645208,False
15,0.3359739239408762,0.25969722690550906,0.046752241783236205,False
16,0.32311898315348564,0.24829263063637833,0.044766935274789206,False
17,0.30896686246286287,0.25073667223516266,0.0468313928546482,False
18,0.2966985397071759,0.24392588750312202,0.04411401361913273,False
19,0.2994035189020683,0.25390351563692093,0.044987135958906854,False
20,0.29874979367641985,0.26396436832453074,0.047158617918428625,False
21,0.29442013889798485,0.24580206388705655,0.043561402585749566,False
22,0.28732199428981764,0.24702979526237437,0.04529819941442264,False
23,0.27636015201876274,0.2651231626146718,0.04742038578383232,False
24,0.27680428415784203,0.24447622914847575,0.043286337174083055,False
25,0.2638997062113275,0.24209876927106003,0.04301103746126357,False
26,0.25779423553542974,0.2570995300223953,0.04590353335400945,False
27,0.25898649855768036,0.2536608880679858,0.043948307216755654,False
28,0.257581575344707,0.25956560220373304,0.045070296839663855,False
29,0.23792364411210618,0.252430794466483,0.0434674723318925,False
30,0.235931458500411,0.2569567821919918,0.04476678302805675,False
31,0.2301261468917997,0.27153604693318667,0.0473677112083686,False
32,0.22939439133366113,0.27010124549269676,0.047440740524938234,False
33,0.22906234526535288,0.2625035141643725,0.04572260308716642,False
34,0.227114590742776,0.27889127970526095,0.048140911838824026,False
35,0.22015190835562978,0.2757956466000331,0.04750925233881725,False
36,0.21882489638951805,0.27953290762869937,0.04854651829717975,False
37,0.21025250239985613,0.28418214325057833,0.04913761569677215,False
38,0.21216523545287952,0.28450539217967735,0.049767128755583576,True
