epoch,global_step,train_denoise_loss,val_denoise_loss,val_action_mse,success_pretrain,success_target,base_inference_steps
1,200,1.001731,1.007341,0.196499,nan,nan,16
2,400,0.99768,nan,nan,nan,nan,16
3,600,0.965191,nan,nan,nan,nan,16
4,800,0.830808,nan,nan,nan,nan,16
5,1000,0.692515,nan,nan,nan,nan,16
6,1200,0.617768,nan,nan,nan,nan,16
7,1400,0.563297,nan,nan,nan,nan,16
8,1600,0.508887,nan,nan,nan,nan,16
9,1800,0.465643,nan,nan,nan,nan,16
10,2000,0.430393,0.393295,0.172107,nan,nan,16
11,2200,0.40007,nan,nan,nan,nan,16
12,2400,0.365011,nan,nan,nan,nan,16
13,2600,0.346289,nan,nan,nan,nan,16
14,2800,0.316926,nan,nan,nan,nan,16
15,3000,0.301738,nan,nan,nan,nan,16
16,3200,0.282983,nan,nan,nan,nan,16
17,3400,0.271094,nan,nan,nan,nan,16
18,3600,0.268356,nan,nan,nan,nan,16
19,3800,0.253854,nan,nan,nan,nan,16
20,4000,0.25414,0.247468,0.148053,nan,nan,16
21,4200,0.256963,nan,nan,nan,nan,16
22,4400,0.251264,nan,nan,nan,nan,16
23,4600,0.248073,nan,nan,nan,nan,16
24,4800,0.247967,nan,nan,nan,nan,16
25,5000,0.242334,nan,nan,nan,nan,16
26,5200,0.245717,nan,nan,nan,nan,16
27,5400,0.234247,nan,nan,nan,nan,16
28,5600,0.236335,nan,nan,nan,nan,16
29,5800,0.236981,nan,nan,nan,nan,16
30,6000,0.234127,0.239406,0.140165,nan,nan,16
31,6200,0.229771,nan,nan,nan,nan,16
32,6400,0.232675,nan,nan,nan,nan,16
33,6600,0.23054,nan,nan,nan,nan,16
34,6800,0.227845,nan,nan,nan,nan,16
35,7000,0.224784,nan,nan,nan,nan,16
36,7200,0.225013,nan,nan,nan,nan,16
37,7400,0.224251,nan,nan,nan,nan,16
38,7600,0.231894,nan,nan,nan,nan,16
39,7800,0.219506,nan,nan,nan,nan,16
40,8000,0.226614,0.197665,0.13287,nan,nan,16
