epoch,step_in_epoch,global_step,running_train_loss
1,50,50,1.003683
1,100,100,1.003574
1,150,150,1.002316
1,200,200,1.001731
2,50,250,0.999626
2,100,300,0.999388
2,150,350,1.00005
2,200,400,0.99768
3,50,450,0.992535
3,100,500,0.97901
3,150,550,0.974236
3,200,600,0.965191
4,50,650,0.903226
4,100,700,0.885391
4,150,750,0.854083
4,200,800,0.830808
5,50,850,0.724443
5,100,900,0.71954
5,150,950,0.705164
5,200,1000,0.692515
6,50,1050,0.640992
6,100,1100,0.63648
6,150,1150,0.627385
6,200,1200,0.617768
7,50,1250,0.576768
7,100,1300,0.57874
7,150,1350,0.569467
7,200,1400,0.563297
8,50,1450,0.528469
8,100,1500,0.519106
8,150,1550,0.513762
8,200,1600,0.508887
9,50,1650,0.463985
9,100,1700,0.473566
9,150,1750,0.468045
9,200,1800,0.465643
10,50,1850,0.44276
10,100,1900,0.434946
10,150,1950,0.433934
10,200,2000,0.430393
11,50,2050,0.40074
11,100,2100,0.40049
11,150,2150,0.402359
11,200,2200,0.40007
12,50,2250,0.385824
12,100,2300,0.370615
12,150,2350,0.369653
12,200,2400,0.365011
13,50,2450,0.365248
13,100,2500,0.359502
13,150,2550,0.353708
13,200,2600,0.346289
14,50,2650,0.335609
14,100,2700,0.326422
14,150,2750,0.323523
14,200,2800,0.316926
15,50,2850,0.311875
15,100,2900,0.311114
15,150,2950,0.304046
15,200,3000,0.301738
16,50,3050,0.276479
16,100,3100,0.284354
16,150,3150,0.284127
16,200,3200,0.282983
17,50,3250,0.268798
17,100,3300,0.278123
17,150,3350,0.271862
17,200,3400,0.271094
18,50,3450,0.268189
18,100,3500,0.268781
18,150,3550,0.265198
18,200,3600,0.268356
19,50,3650,0.273386
19,100,3700,0.259597
19,150,3750,0.257001
19,200,3800,0.253854
20,50,3850,0.247642
20,100,3900,0.249552
20,150,3950,0.255228
20,200,4000,0.25414
21,50,4050,0.25835
21,100,4100,0.256018
21,150,4150,0.257279
21,200,4200,0.256963
22,50,4250,0.246137
22,100,4300,0.253213
22,150,4350,0.252668
22,200,4400,0.251264
23,50,4450,0.245897
23,100,4500,0.241987
23,150,4550,0.24731
23,200,4600,0.248073
24,50,4650,0.244681
24,100,4700,0.242669
24,150,4750,0.24646
24,200,4800,0.247967
25,50,4850,0.257793
25,100,4900,0.245508
25,150,4950,0.243441
25,200,5000,0.242334
26,50,5050,0.23512
26,100,5100,0.242564
26,150,5150,0.245501
26,200,5200,0.245717
27,50,5250,0.243622
27,100,5300,0.236817
27,150,5350,0.234131
27,200,5400,0.234247
28,50,5450,0.238789
28,100,5500,0.236722
28,150,5550,0.238887
28,200,5600,0.236335
29,50,5650,0.230291
29,100,5700,0.233229
29,150,5750,0.232799
29,200,5800,0.236981
30,50,5850,0.255676
30,100,5900,0.245499
30,150,5950,0.23639
30,200,6000,0.234127
31,50,6050,0.245961
31,100,6100,0.242417
31,150,6150,0.23147
31,200,6200,0.229771
32,50,6250,0.219353
32,100,6300,0.232215
32,150,6350,0.233411
32,200,6400,0.232675
33,50,6450,0.212122
33,100,6500,0.217419
33,150,6550,0.228501
33,200,6600,0.23054
34,50,6650,0.224413
34,100,6700,0.222757
34,150,6750,0.226728
34,200,6800,0.227845
35,50,6850,0.220363
35,100,6900,0.221227
35,150,6950,0.2238
35,200,7000,0.224784
36,50,7050,0.223249
36,100,7100,0.231438
36,150,7150,0.230665
36,200,7200,0.225013
37,50,7250,0.216917
37,100,7300,0.222304
37,150,7350,0.22543
37,200,7400,0.224251
38,50,7450,0.244244
38,100,7500,0.235551
38,150,7550,0.233569
38,200,7600,0.231894
39,50,7650,0.222939
39,100,7700,0.221739
39,150,7750,0.214271
39,200,7800,0.219506
40,50,7850,0.219319
40,100,7900,0.229163
40,150,7950,0.228012
40,200,8000,0.226614
